Cod_Instrument,Nume_Instrument,Categorie,Subcategorie,Furnizor,Tara_Origine,Material,Pret_Unitar_EUR,Cantitate,Valoare_Totala_EUR,Data_Achizitie,Garantie_Luni,Data_Expirare_Garantie,Conditie,Stoc_Minim,Rating_Calitate,Autoclavabil,Utilizari_Maxime,Note
END-0003,Ace K-File 25mm nr.15 (6 buc),Endodontie,Diagnostic,NSK Europe,Japonia,Aliaj titan-nichel,33.59,3,100.77,2021-01-26,60,2025-12-31,Nou,4,3.6,Nu,1000,Recomandat de medic specialist
IMP-0003,Trusa implant Nobel Biocare (set complet),Implantologie,Chirurgie,Zimmer Biomet,SUA,Titan,3789.1,13,49258.3,2020-11-19,24,2022-11-09,Reconditionat,4,4.3,Da,1000,
IMP-0051,Healing abutment 5mm,Implantologie,Sterilizare,NSK Europe,Japonia,Titan,95.53,17,1624.01,2024-08-28,36,2027-08-13,Nou,1,4.5,Da,100,Lot special
PAR-0040,Retractor tisular Molt 4,Parodontologie,Profilaxie,Satelec,Franta,Otel inoxidabil german,99.66,20,1993.2,2023-06-06,60,2028-05-10,Nou,5,4.0,Da,1,Necesita calibrare anuala
STE-0050,Gel lubrifiant instrumente (500ml),Sterilizare,Profilaxie,W&H Dentalwerk,Austria,Silicon medical,39.75,17,675.75,2024-11-08,12,2025-11-03,Nou,3,3.6,Da,1000,
IMP-0041,Membrane colagenica resorbabila,Implantologie,Auxiliar,NSK Europe,Japonia,Silicon medical,122.61,6,735.66,2024-12-12,36,2027-11-27,Nou,4,3.8,Da,50,
PED-0040,Caseta sterilizare pediatrie,Pedodontie,Profilaxie,Henry Schein Dental,SUA,Aluminiu anodizat,117.23,12,1406.76,2021-09-27,24,2023-09-17,Nou,1,3.5,Da,50,Inlocuieste modelul anterior
GEN-0037,Scaler sickle H6/H7,General,Profilaxie,Kerr Dental,SUA,Otel inoxidabil german,65.6,11,721.6,2023-07-09,6,2024-01-05,Nou,3,4.3,Da,200,Inlocuieste modelul anterior
IMP-0057,Kit sinus lift (6 piese),Implantologie,Diagnostic,Straumann Group,Elvetia,Titan,1469.99,1,1469.99,2022-09-28,6,2023-03-27,Nou,4,4.9,Nu,50,
CHI-0012,Elevator Luxator PDL 3mm,Chirurgie Orala,Sterilizare,Hu-Friedy Europe,Germania,Otel inoxidabil german,89.99,12,1079.88,2020-11-23,60,2025-10-28,Nou,4,4.9,Da,1000,Sterilizabil autoclav
GEN-0026,Chiureta Gracey 1/2,General,Chirurgie,Hu-Friedy Europe,Germania,Otel inoxidabil german,110.7,17,1881.9,2022-12-22,12,2023-12-17,Reconditionat,1,4.8,Da,200,Necesita calibrare anuala
CHI-0050,Retractor Minnesota,Chirurgie Orala,Profilaxie,Henry Schein Dental,SUA,Otel inoxidabil german,119.61,4,478.44,2021-05-30,36,2024-05-14,Nou,5,4.7,Da,1,Necesita calibrare anuala
GEN-0024,Pensa hemostaza Halsted,General,Sterilizare,Henry Schein Dental,SUA,Otel inoxidabil,85.28,19,1620.32,2022-10-05,60,2027-09-09,Nou,5,3.6,Da,100,Inlocuieste modelul anterior
END-0027,Apex locator Root ZX II,Endodontie,Auxiliar,KaVo Kerr,Germania,Aliaj titan-nichel,1353.47,13,17595.11,2025-07-03,12,2026-06-28,Nou,1,4.1,Nu,50,Verificat la receptie
ORT-0024,Spatula pozitionare bracket,Ortodontie,Sterilizare,American Orthodontics,SUA,Otel inoxidabil,33.77,18,607.86,2022-04-28,60,2027-04-02,Nou,2,4.0,Da,100,
PAR-0044,Needle holder Castroviejo,Parodontologie,Auxiliar,Mectron,Italia,Otel inoxidabil german,160.65,18,2891.7,2025-04-17,12,2026-04-12,Nou,2,4.8,Da,50,Recomandat de medic specialist
END-0036,Obtulator vertical Buchanan,Endodontie,Auxiliar,Acteon Group,Franta,Otel inoxidabil,91.54,20,1830.8,2024-07-03,6,2024-12-30,Nou,3,4.5,Nu,100,
END-0035,Obtulator vertical Buchanan,Endodontie,Diagnostic,NSK Europe,Japonia,Otel inoxidabil,174.76,12,2097.12,2024-08-10,24,2026-07-31,Nou,4,4.4,Da,100,Livrare urgenta
IMP-0036,Elevator periost Goldman-Fox,Implantologie,Sterilizare,Zimmer Biomet,SUA,Otel inoxidabil german,133.55,20,2671.0,2021-11-20,24,2023-11-10,Demo,3,3.9,Da,50,Verificat la receptie
PED-0033,Spatula spatula sigilant,Pedodontie,Auxiliar,Kerr Dental,SUA,Otel inoxidabil,59.08,7,413.56,2022-10-10,60,2027-09-14,Nou,1,4.3,Da,1,Lot special
ORT-0038,Bracket ceramic (set 20),Ortodontie,Chirurgie,Ormco,SUA,Silicon medical,414.82,20,8296.4,2020-08-12,6,2021-02-08,Nou,2,4.7,Da,1,Verificat la receptie
STE-0058,Solutie dezinfectant suprafete (5L),Sterilizare,Tratament,Acteon Group,Franta,Silicon medical,80.85,2,161.7,2020-10-16,60,2025-09-20,Reconditionat,4,3.6,Da,Nelimitat,Verificat la receptie
CHI-0070,Trusa extractie completa (20 piese),Chirurgie Orala,Auxiliar,GC Europe,Belgia,Otel inoxidabil german,3365.4,7,23557.8,2025-11-17,12,2026-11-12,Nou,3,4.7,Da,1,Necesita calibrare anuala
IMP-0044,Abutment titan standard,Implantologie,Diagnostic,Zimmer Biomet,SUA,Titan,205.31,14,2874.34,2021-06-25,36,2024-06-09,Nou,4,3.6,Da,100,
PED-0050,Set freze pediatrie (10 buc),Pedodontie,Chirurgie,Kerr Dental,SUA,Carbon,127.77,8,1022.16,2021-08-20,6,2022-02-16,Nou,5,4.4,Da,50,Sterilizabil autoclav
IMP-0060,Motor implant NSK Surgic Pro,Implantologie,Auxiliar,Zimmer Biomet,SUA,Aliaj titan-nichel,8419.75,8,67358.0,2025-03-15,24,2027-03-05,Nou,4,5.0,Da,50,
ORT-0029,Arc NiTi rotund 0.014 (10 buc),Ortodontie,Sterilizare,3M Oral Care,SUA,Aliaj titan-nichel,45.42,20,908.4,2024-10-28,6,2025-04-26,Nou,1,4.8,Da,200,Inlocuieste modelul anterior
ORT-0009,Cleste indoire arc Tweed,Ortodontie,Chirurgie,American Orthodontics,SUA,Otel inoxidabil german,203.28,14,2845.92,2021-02-07,6,2021-08-06,Nou,3,4.9,Da,100,
IMP-0038,Membrane colagenica resorbabila,Implantologie,Profilaxie,NSK Europe,Japonia,Silicon medical,180.03,3,540.09,2021-01-16,36,2024-01-01,Nou,3,4.5,Nu,100,Necesita calibrare anuala
PED-0035,Spatula spatula sigilant,Pedodontie,Profilaxie,Henry Schein Dental,SUA,Otel inoxidabil,57.26,16,916.16,2021-01-07,60,2025-12-12,Nou,1,4.2,Nu,500,Lot special
RAD-0013,Suport film radiologic pediatric (set 3),Radiologie,Diagnostic,KaVo Kerr,Germania,Plastic autoclavabil,66.59,7,466.13,2024-01-08,24,2025-12-28,Nou,2,3.5,Da,50,Recomandat de medic specialist
IMP-0020,Cheie dinamometrica implant,Implantologie,Auxiliar,Straumann Group,Elvetia,Titan,367.03,8,2936.24,2023-12-25,12,2024-12-19,Nou,1,4.3,Nu,Nelimitat,Inlocuieste modelul anterior
STE-0042,Distilator apa Aqua 4 Melag,Sterilizare,Sterilizare,W&H Dentalwerk,Austria,Aluminiu anodizat,1335.04,12,16020.48,2022-01-15,36,2024-12-30,Nou,5,3.8,Da,1,
PRO-0030,Spatula laborator cearã,Prostetica,Diagnostic,Kerr Dental,SUA,Otel inoxidabil,59.56,20,1191.2,2021-06-05,60,2026-05-10,Nou,1,4.0,Da,500,Inlocuieste modelul anterior
STE-0039,Indicator chimic sterilizare clasa 5 (250 buc),Sterilizare,Auxiliar,SciCan,Canada,Silicon medical,66.75,9,600.75,2025-09-04,6,2026-03-03,Nou,5,4.6,Da,200,Lot special
CHI-0085,Malet chirurgical inox,Chirurgie Orala,Tratament,GC Europe,Belgia,Otel inoxidabil,78.06,7,546.42,2022-07-15,6,2023-01-11,Nou,1,4.9,Da,Nelimitat,Sterilizabil autoclav
PAR-0014,Chiureta Gracey 13/14 SG,Parodontologie,Tratament,Hu-Friedy Europe,Germania,Otel inoxidabil german,72.44,6,434.64,2025-07-09,12,2026-07-04,Nou,4,3.7,Da,1,Recomandat de medic specialist
STE-0064,Container deseuri taioase 1L (10 buc),Sterilizare,Chirurgie,SciCan,Canada,Plastic autoclavabil,33.32,14,466.48,2021-01-22,36,2024-01-07,Nou,5,4.7,Da,Nelimitat,Necesita calibrare anuala
PRO-0013,Lingura amprenta superioara L,Prostetica,Diagnostic,3M Oral Care,SUA,Aluminiu anodizat,30.59,16,489.44,2025-07-10,12,2026-07-05,Nou,2,4.6,Da,1,
PAR-0033,Chiureta Langer 1/2,Parodontologie,Profilaxie,Hu-Friedy Europe,Germania,Otel inoxidabil german,118.47,8,947.76,2022-11-25,36,2025-11-09,Nou,4,4.1,Da,500,
CHI-0033,Cleste extractie molar superior 53L,Chirurgie Orala,Auxiliar,GC Europe,Belgia,Otel inoxidabil german,234.96,12,2819.52,2025-11-03,36,2028-10-18,Nou,2,4.8,Da,1000,
ORT-0055,Pin pusher instrucor,Ortodontie,Tratament,American Orthodontics,SUA,Otel inoxidabil,63.91,19,1214.29,2024-12-09,36,2027-11-24,Nou,4,4.3,Da,Nelimitat,Sterilizabil autoclav
PRO-0042,Freza ceramica (set 10),Prostetica,Chirurgie,Dentsply Sirona,Germania,Carbon,156.02,12,1872.24,2021-04-08,60,2026-03-13,Nou,1,3.7,Nu,500,Lot special
RAD-0019,Halter film radiologic tip Kim,Radiologie,Profilaxie,KaVo Kerr,Germania,Plastic autoclavabil,77.45,13,1006.85,2022-01-27,24,2024-01-17,Nou,1,4.8,Da,500,
ORT-0060,Ligatura metalica (1000 buc),Ortodontie,Diagnostic,American Orthodontics,SUA,Otel inoxidabil,31.46,20,629.2,2025-12-01,36,2028-11-15,Nou,3,3.9,Da,200,
CHI-0053,Pensa Adson cu dinti,Chirurgie Orala,Chirurgie,KaVo Kerr,Germania,Otel inoxidabil german,82.91,15,1243.65,2020-01-03,60,2024-12-07,Nou,2,4.8,Da,100,Recomandat de medic specialist
GEN-0014,Spatula de ciment,General,Sterilizare,Hu-Friedy Europe,Germania,Otel inoxidabil,59.12,18,1064.16,2021-05-30,12,2022-05-25,Nou,5,3.7,Nu,50,Lot special
ORT-0074,Cleste formator arc tip Burstone,Ortodontie,Tratament,3M Oral Care,SUA,Otel inoxidabil german,208.52,3,625.56,2023-04-04,24,2025-03-24,Nou,2,4.7,Da,50,Lot special
PED-0051,Set freze pediatrie (10 buc),Pedodontie,Auxiliar,GC Europe,Belgia,Carbon,159.1,19,3022.9,2022-10-03,36,2025-09-17,Nou,3,3.9,Nu,200,Livrare urgenta
PED-0011,Cleste extractie 150S pediatric,Pedodontie,Tratament,Kerr Dental,SUA,Otel inoxidabil german,147.34,10,1473.4,2025-07-30,6,2026-01-26,Nou,4,4.3,Da,1,
GEN-0050,Sonda exploratoare nr.23,General,Diagnostic,GC Europe,Belgia,Otel inoxidabil,63.63,13,827.19,2023-02-13,36,2026-01-28,Nou,1,4.2,Da,50,Lot special
STE-0007,Autoclav clasa S SciCan Statim 5000,Sterilizare,Profilaxie,W&H Dentalwerk,Austria,Aluminiu anodizat,8137.99,4,32551.96,2022-01-10,24,2023-12-31,Demo,4,3.8,Da,Nelimitat,
PED-0036,Spatula spatula sigilant,Pedodontie,Diagnostic,Hu-Friedy Europe,Germania,Otel inoxidabil,50.15,10,501.5,2020-03-30,36,2023-03-15,Nou,1,4.6,Da,200,Recomandat de medic specialist
PED-0017,Cleste extractie 151S pediatric,Pedodontie,Auxiliar,Hu-Friedy Europe,Germania,Otel inoxidabil german,131.04,4,524.16,2024-09-02,60,2029-08-07,Nou,1,4.4,Da,1000,Verificat la receptie
STE-0035,Indicator chimic sterilizare clasa 5 (250 buc),Sterilizare,Auxiliar,Densply Romania,Romania,Silicon medical,60.09,9,540.81,2021-08-16,24,2023-08-06,Nou,3,4.7,Da,Nelimitat,
PED-0045,Oglinda pediatrica cu iluminare LED,Pedodontie,Sterilizare,Kerr Dental,SUA,Otel inoxidabil,63.07,8,504.56,2023-05-16,12,2024-05-10,Nou,1,4.3,Da,200,Sterilizabil autoclav
CHI-0087,Spatula Tucker,Chirurgie Orala,Tratament,KaVo Kerr,Germania,Otel inoxidabil,72.59,19,1379.21,2025-11-21,6,2026-05-20,Nou,4,4.2,Nu,1000,
END-0019,Ace rotative Reciproc Blue 25,Endodontie,Auxiliar,NSK Europe,Japonia,Aliaj titan-nichel,101.69,5,508.45,2021-10-07,36,2024-09-21,Nou,4,4.5,Da,50,
IMP-0045,Abutment titan standard,Implantologie,Profilaxie,Zimmer Biomet,SUA,Titan,113.51,5,567.55,2021-08-08,6,2022-02-04,Nou,1,4.4,Da,1000,
PRO-0029,Arc facial Denar,Prostetica,Profilaxie,GC Europe,Belgia,Aliaj titan-nichel,538.86,11,5927.46,2023-08-23,36,2026-08-07,Nou,1,4.2,Nu,Nelimitat,Necesita calibrare anuala
END-0025,Apex locator Root ZX II,Endodontie,Auxiliar,Dentsply Sirona,Germania,Aliaj titan-nichel,2075.27,3,6225.81,2023-10-16,60,2028-09-19,Demo,4,4.6,Da,500,Sterilizabil autoclav
GEN-0007,Penseta dentara anatomica,General,Tratament,Densply Romania,Romania,Otel inoxidabil,43.18,11,474.98,2020-08-17,12,2021-08-12,Nou,3,4.1,Da,50,
CHI-0068,Aspirator chirurgical Frazier,Chirurgie Orala,Tratament,GC Europe,Belgia,Otel inoxidabil,88.41,20,1768.2,2025-08-29,6,2026-02-25,Nou,3,4.7,Da,1,
PRO-0055,Matrice sectoriala metal (set 10),Prostetica,Sterilizare,GC Europe,Belgia,Otel inoxidabil,87.28,4,349.12,2021-05-06,6,2021-11-02,Nou,2,4.1,Da,1,Inlocuieste modelul anterior
IMP-0008,Implant titan 3.5x10mm,Implantologie,Diagnostic,NSK Europe,Japonia,Titan,235.71,3,707.13,2023-10-27,60,2028-09-30,Nou,5,4.1,Da,Nelimitat,Necesita calibrare anuala
RAD-0035,Tablier protectie plumb pediatric,Radiologie,Sterilizare,KaVo Kerr,Germania,Silicon medical,232.95,3,698.85,2024-12-29,6,2025-06-27,Reconditionat,4,3.8,Da,1000,Necesita calibrare anuala
PAR-0006,Chiureta Gracey 5/6 SG,Parodontologie,Auxiliar,Satelec,Franta,Otel inoxidabil german,145.82,15,2187.3,2022-01-12,60,2026-12-17,Nou,3,4.4,Da,200,Inlocuieste modelul anterior
PED-0041,Canula aspiratie pediatrica,Pedodontie,Profilaxie,Hu-Friedy Europe,Germania,Plastic autoclavabil,12.02,2,24.04,2025-01-02,60,2029-12-07,Nou,1,3.9,Nu,50,
PRO-0058,Pana interdentara lemn (100 buc),Prostetica,Diagnostic,3M Oral Care,SUA,Silicon medical,14.49,18,260.82,2024-11-01,12,2025-10-27,Nou,1,4.9,Da,1,Verificat la receptie
CHI-0036,Cleste extractie molar superior 53L,Chirurgie Orala,Chirurgie,KaVo Kerr,Germania,Otel inoxidabil german,180.91,5,904.55,2021-06-21,60,2026-05-26,Nou,1,3.6,Nu,200,Necesita calibrare anuala
RAD-0046,Film radiologie Speed D (150 buc),Radiologie,Sterilizare,Dentsply Sirona,Germania,Silicon medical,149.77,12,1797.24,2025-06-09,36,2028-05-24,Nou,2,3.7,Da,Nelimitat,
ORT-0065,Retractor obraz Lip Bumper,Ortodontie,Chirurgie,American Orthodontics,SUA,Plastic autoclavabil,22.21,15,333.15,2020-05-31,24,2022-05-21,Nou,2,4.8,Nu,Nelimitat,Necesita calibrare anuala
PAR-0023,Varf ultrasonic paro TFI-10,Parodontologie,Diagnostic,Acteon Group,Franta,Aliaj titan-nichel,80.76,10,807.6,2020-07-11,36,2023-06-26,Nou,3,4.9,Da,50,
PRO-0002,Spatula amestec silicon (set 3),Prostetica,Chirurgie,3M Oral Care,SUA,Otel inoxidabil,61.02,1,61.02,2022-01-02,36,2024-12-17,Nou,2,4.8,Da,1000,
GEN-0060,Tava instrument inox,General,Diagnostic,Densply Romania,Romania,Otel inoxidabil,60.47,18,1088.46,2023-09-16,24,2025-09-05,Nou,3,4.0,Da,100,
ORT-0026,Deschizator buze transparent,Ortodontie,Sterilizare,American Orthodontics,SUA,Plastic autoclavabil,22.96,5,114.8,2024-09-20,60,2029-08-25,Nou,1,4.2,Da,200,Necesita calibrare anuala
RAD-0012,Suport film radiologic pediatric (set 3),Radiologie,Profilaxie,KaVo Kerr,Germania,Plastic autoclavabil,130.77,3,392.31,2025-04-13,60,2030-03-18,Nou,4,3.7,Da,200,Recomandat de medic specialist
RAD-0040,Guler tiroidian protectie,Radiologie,Auxiliar,Henry Schein Dental,SUA,Silicon medical,108.43,18,1951.74,2025-03-13,12,2026-03-08,Nou,1,3.7,Nu,1,Verificat la receptie
IMP-0023,Cheie dinamometrica implant,Implantologie,Auxiliar,Nobel Biocare,Elvetia,Titan,469.78,11,5167.58,2025-02-08,12,2026-02-03,Nou,3,4.2,Nu,100,Livrare urgenta
CHI-0006,Bisturiu maner nr.4,Chirurgie Orala,Chirurgie,GC Europe,Belgia,Otel inoxidabil german,82.37,13,1070.81,2023-12-06,60,2028-11-09,Nou,5,3.6,Nu,Nelimitat,
RAD-0028,Dispozitiv pozitionare senzor XCP,Radiologie,Tratament,Dentsply Sirona,Germania,Plastic autoclavabil,220.76,10,2207.6,2021-12-04,24,2023-11-24,Nou,3,5.0,Da,100,
STE-0054,Solutie dezinfectant Optim 33 (1L),Sterilizare,Sterilizare,SciCan,Canada,Silicon medical,33.15,10,331.5,2022-01-09,12,2023-01-04,Nou,3,4.3,Da,500,Inlocuieste modelul anterior
END-0030,Plugger endodontic Machtou,Endodontie,Tratament,KaVo Kerr,Germania,Otel inoxidabil german,118.94,4,475.76,2020-12-17,24,2022-12-07,Nou,4,5.0,Da,Nelimitat,Recomandat de medic specialist
PRO-0034,Lupе binoculare protetic 2.5x,Prostetica,Diagnostic,3M Oral Care,SUA,Aluminiu anodizat,879.89,2,1759.78,2021-01-05,12,2021-12-31,Nou,5,4.9,Da,1000,Inlocuieste modelul anterior
GEN-0039,Scaler Jacquette 34/35,General,Auxiliar,Henry Schein Dental,SUA,Otel inoxidabil german,89.39,19,1698.41,2023-08-12,36,2026-07-27,Nou,2,4.3,Da,100,
ORT-0041,Bracket ceramic (set 20),Ortodontie,Tratament,Dentsply Sirona,Germania,Silicon medical,328.97,11,3618.67,2021-12-04,60,2026-11-08,Nou,3,3.6,Nu,500,
STE-0052,Gel lubrifiant instrumente (500ml),Sterilizare,Profilaxie,Densply Romania,Romania,Silicon medical,75.47,5,377.35,2024-12-07,6,2025-06-05,Nou,1,3.8,Da,50,
IMP-0031,Formator os rotund,Implantologie,Profilaxie,Nobel Biocare,Elvetia,Titan,142.45,18,2564.1,2025-09-01,36,2028-08-16,Nou,4,4.1,Da,1,Livrare urgenta
PED-0047,Oglinda pediatrica cu iluminare LED,Pedodontie,Tratament,Hu-Friedy Europe,Germania,Otel inoxidabil,110.52,7,773.64,2022-06-07,36,2025-05-22,Nou,3,4.0,Da,1000,
ORT-0044,Banda molar cu tub (set 4),Ortodontie,Chirurgie,Dentsply Sirona,Germania,Otel inoxidabil,79.8,19,1516.2,2025-01-12,60,2029-12-17,Nou,5,4.0,Da,200,Inlocuieste modelul anterior
RAD-0014,Suport film radiologic pediatric (set 3),Radiologie,Tratament,Dentsply Sirona,Germania,Plastic autoclavabil,127.39,15,1910.85,2024-09-09,12,2025-09-04,Nou,2,4.8,Da,500,Recomandat de medic specialist
ORT-0056,Pin pusher instrucor,Ortodontie,Diagnostic,American Orthodontics,SUA,Otel inoxidabil,96.75,2,193.5,2025-05-22,24,2027-05-12,Nou,1,4.6,Da,1,Lot special
CHI-0066,Aspirator chirurgical Frazier,Chirurgie Orala,Tratament,GC Europe,Belgia,Otel inoxidabil,39.32,2,78.64,2023-10-01,24,2025-09-20,Nou,4,4.1,Da,1000,
STE-0061,Container deseuri taioase 1L (10 buc),Sterilizare,Profilaxie,Acteon Group,Franta,Plastic autoclavabil,34.89,14,488.46,2021-01-04,36,2023-12-20,Nou,5,3.8,Da,1,Inlocuieste modelul anterior
GEN-0034,Chiureta universala Columbia,General,Chirurgie,Henry Schein Dental,SUA,Otel inoxidabil german,90.06,7,630.42,2024-06-20,24,2026-06-10,Nou,1,5.0,Nu,1000,Verificat la receptie
PAR-0050,Spatula osoasa Lucas,Parodontologie,Chirurgie,Mectron,Italia,Otel inoxidabil,65.86,6,395.16,2021-10-06,24,2023-09-26,Nou,1,4.5,Da,200,Sterilizabil autoclav
PAR-0007,Chiureta Gracey 7/8 SG,Parodontologie,Sterilizare,Hu-Friedy Europe,Germania,Otel inoxidabil german,154.1,15,2311.5,2020-07-07,6,2021-01-03,Nou,3,3.5,Da,1000,Inlocuieste modelul anterior
END-0057,Ruler endodontic,Endodontie,Chirurgie,Dentsply Sirona,Germania,Otel inoxidabil,32.69,6,196.14,2021-05-19,24,2023-05-09,Nou,1,4.1,Da,500,Inlocuieste modelul anterior
END-0031,Plugger endodontic Machtou,Endodontie,Auxiliar,Acteon Group,Franta,Otel inoxidabil german,124.56,14,1743.84,2025-04-28,60,2030-04-02,Nou,4,3.9,Da,500,Sterilizabil autoclav
ORT-0048,Cleste Nance,Ortodontie,Profilaxie,American Orthodontics,SUA,Otel inoxidabil german,152.84,15,2292.6,2025-11-16,60,2030-10-21,Nou,3,4.1,Nu,Nelimitat,Verificat la receptie
ORT-0023,Spatula pozitionare bracket,Ortodontie,Chirurgie,3M Oral Care,SUA,Otel inoxidabil,40.44,4,161.76,2025-02-05,6,2025-08-04,Nou,5,5.0,Da,50,
PED-0053,Set freze pediatrie (10 buc),Pedodontie,Diagnostic,Hu-Friedy Europe,Germania,Carbon,262.64,3,787.92,2020-07-17,6,2021-01-13,Nou,2,3.6,Da,500,
ORT-0013,Cleste debonding ceramic,Ortodontie,Auxiliar,Dentsply Sirona,Germania,Otel inoxidabil german,201.51,19,3828.69,2023-04-26,24,2025-04-15,Nou,4,3.9,Da,500,Recomandat de medic specialist
IMP-0030,Formator os rotund,Implantologie,Diagnostic,Nobel Biocare,Elvetia,Titan,117.72,16,1883.52,2023-03-29,12,2024-03-23,Nou,4,4.4,Nu,50,Necesita calibrare anuala
ORT-0042,Banda molar cu tub (set 4),Ortodontie,Diagnostic,Ormco,SUA,Otel inoxidabil,74.68,10,746.8,2023-10-22,12,2024-10-16,Nou,2,3.6,Da,Nelimitat,Inlocuieste modelul anterior
ORT-0071,Cleste formator arc tip Burstone,Ortodontie,Sterilizare,Dentsply Sirona,Germania,Otel inoxidabil german,252.17,2,504.34,2021-09-20,36,2024-09-04,Reconditionat,3,4.2,Da,500,
ORT-0006,Cleste taiere ligatura,Ortodontie,Diagnostic,Dentsply Sirona,Germania,Carbon,185.95,5,929.75,2025-08-19,60,2030-07-24,Nou,1,4.8,Nu,1,Livrare urgenta
PRO-0017,Lingura amprenta inferioara M,Prostetica,Sterilizare,GC Europe,Belgia,Aluminiu anodizat,33.82,18,608.76,2023-10-04,36,2026-09-18,Nou,4,4.9,Da,500,
RAD-0039,Guler tiroidian protectie,Radiologie,Diagnostic,KaVo Kerr,Germania,Silicon medical,94.24,15,1413.6,2021-07-14,12,2022-07-09,Nou,4,3.9,Da,Nelimitat,Livrare urgenta
PRO-0062,Portamalgam Dentsply,Prostetica,Sterilizare,Dentsply Sirona,Germania,Otel inoxidabil german,115.19,11,1267.09,2020-11-25,36,2023-11-10,Nou,3,4.5,Da,200,
STE-0025,Pungi sterilizare 150x300mm (200 buc),Sterilizare,Sterilizare,SciCan,Canada,Silicon medical,88.78,17,1509.26,2025-04-30,36,2028-04-14,Nou,1,4.5,Da,200,Verificat la receptie
CHI-0059,Foarfece chirurgical Dean,Chirurgie Orala,Sterilizare,Henry Schein Dental,SUA,Otel inoxidabil german,125.25,8,1002.0,2022-01-02,60,2026-12-07,Nou,4,4.6,Da,1000,Inlocuieste modelul anterior
GEN-0018,Deschizator de gura Molt,General,Diagnostic,Hu-Friedy Europe,Germania,Otel inoxidabil german,46.79,14,655.06,2023-12-22,36,2026-12-06,Nou,1,4.5,Da,200,Inlocuieste modelul anterior
ORT-0016,Cleste Mathieu needle holder,Ortodontie,Profilaxie,American Orthodontics,SUA,Otel inoxidabil,104.1,18,1873.8,2024-02-07,60,2029-01-11,Nou,3,4.7,Da,1000,Verificat la receptie
ORT-0067,Retractor obraz Lip Bumper,Ortodontie,Chirurgie,3M Oral Care,SUA,Plastic autoclavabil,35.29,13,458.77,2024-12-06,36,2027-11-21,Nou,2,4.2,Da,Nelimitat,Livrare urgenta
END-0049,Lupе binoculare 3.5x,Endodontie,Profilaxie,Dentsply Sirona,Germania,Aluminiu anodizat,1050.16,9,9451.44,2022-01-19,24,2024-01-09,Nou,2,4.0,Da,100,Verificat la receptie
GEN-0001,Oglinda dentara nr.5,General,Diagnostic,Hu-Friedy Europe,Germania,Otel inoxidabil,69.49,8,555.92,2022-07-03,12,2023-06-28,Nou,5,3.6,Da,1,Sterilizabil autoclav
PRO-0005,Lingura amprenta superioara S,Prostetica,Sterilizare,Kerr Dental,SUA,Aluminiu anodizat,36.9,15,553.5,2023-03-28,12,2024-03-22,Nou,2,4.9,Da,1,
CHI-0037,Cleste extractie molar inferior 23,Chirurgie Orala,Auxiliar,GC Europe,Belgia,Otel inoxidabil german,137.29,18,2471.22,2021-12-26,60,2026-11-30,Nou,5,4.2,Da,100,Inlocuieste modelul anterior
RAD-0009,Suport film radiologic adult (set 3),Radiologie,Diagnostic,Henry Schein Dental,SUA,Plastic autoclavabil,152.65,2,305.3,2024-01-31,24,2026-01-20,Nou,3,4.0,Da,1000,Livrare urgenta
GEN-0047,Pensa pentru vata,General,Profilaxie,Hu-Friedy Europe,Germania,Otel inoxidabil,72.14,10,721.4,2024-05-16,36,2027-05-01,Nou,5,4.7,Da,100,
GEN-0056,Kit examinare de baza (4 piese),General,Chirurgie,Densply Romania,Romania,Otel inoxidabil german,243.94,15,3659.1,2024-11-19,60,2029-10-24,Nou,2,4.7,Nu,50,
IMP-0056,Osteotom Summers 4mm,Implantologie,Sterilizare,NSK Europe,Japonia,Titan,166.51,2,333.02,2025-08-08,60,2030-07-13,Nou,2,3.9,Da,50,
IMP-0027,Foret secvential 3.5mm,Implantologie,Profilaxie,Nobel Biocare,Elvetia,Carbura de tungsten,93.89,9,845.01,2025-06-27,60,2030-06-01,Reconditionat,3,4.4,Da,100,Recomandat de medic specialist
PAR-0004,Chiureta Gracey 5/6 SG,Parodontologie,Profilaxie,Acteon Group,Franta,Otel inoxidabil german,99.88,15,1498.2,2023-01-03,6,2023-07-02,Nou,3,3.8,Nu,100,Sterilizabil autoclav
CHI-0016,Elevator Apexo nr.301,Chirurgie Orala,Sterilizare,Henry Schein Dental,SUA,Otel inoxidabil german,93.65,13,1217.45,2020-01-20,24,2022-01-09,Nou,5,3.7,Da,100,
IMP-0039,Membrane colagenica resorbabila,Implantologie,Tratament,Straumann Group,Elvetia,Silicon medical,259.03,3,777.09,2025-02-20,24,2027-02-10,Nou,5,4.1,Nu,100,Sterilizabil autoclav
GEN-0013,Spatula de ciment,General,Auxiliar,Kerr Dental,SUA,Otel inoxidabil,20.78,12,249.36,2023-06-13,12,2024-06-07,Nou,5,4.9,Nu,Nelimitat,
STE-0009,Termodezinfector Miele G7783CD,Sterilizare,Tratament,SciCan,Canada,Aluminiu anodizat,9193.47,15,137902.05,2023-07-01,36,2026-06-15,Nou,4,3.9,Da,Nelimitat,Sterilizabil autoclav
GEN-0073,Scaler manual Nevi 2,General,Auxiliar,Kerr Dental,SUA,Otel inoxidabil german,61.6,9,554.4,2023-08-17,6,2024-02-13,Reconditionat,4,4.8,Nu,200,
